"seller_id","total_revenue","total_orders","on_time_deliveries","on_time_delivery_pct","avg_review_score"
"2a5b78b41cd05baeac8df54c6606b92c",16575.470000000005,"56","55","98.21","4.08"
"1f1bb1f0859883505541bdd6606193e5",16562.87,"29","26","89.66","4.31"
"6061155addc1e54b4cfb51c1c2a32ad8",16513.31,"33","32","96.97","4.70"
"669ae81880e08f269a64487cfb287169",16485.2,"185","178","96.22","4.10"
"c847e075301870dd144a116762eaff9a",16341.480000000003,"42","38","90.48","4.17"
"a3e9a2c700480d9bb01fba070ba80a0e",16240.83,"143","129","90.21","4.06"
"3b15288545f8928d3e65a8f949a28291",16164.879999999994,"118","110","93.22","3.93"
"cfb1a033743668a192316f3c6d1d2671",15970.700000000003,"179","160","89.39","3.91"
"a673821011d0cec28146ea42f5ab767f",15928.040000000003,"141","125","88.65","3.92"
"f9244d45189d3a3605499abddeade7d5",15902.160000000003,"20","20","100.00","4.45"
"6edacfd9f9074789dad6d62ba7950b9c",15872.280000000015,"216","204","94.44","4.36"
"6039e27294dc75811c0d8a39069f52c0",15835.520000000002,"74","55","74.32","3.83"
"8e6d7754bc7e0f22c96d255ebda59eba",15793.350000000004,"129","113","87.60","2.97"
"a5cba26a62b8b4d0145b68b841e62e7f",15785.770000000002,"54","53","98.15","4.53"
"1f9ab4708f3056ede07124aad39a2554",15692.650000000003,"77","73","94.81","4.09"
"701938c450705b8ae65fc923b70f35c7",15650.890000000003,"111","105","94.59","3.76"
"b8bc237ba3788b23da09c0f1f3a3288c",15621.159999999996,"47","46","97.87","4.35"
"080199a181c46c657dc5aa235411be3b",15544.880000000003,"83","81","97.59","4.61"
"289cdb325fb7e7f891c38608bf9e0962",15486.069999999987,"125","123","98.40","4.58"
"ce248b21cb2adc36282ede306b7660e5",15455.200000000003,"65","58","89.23","4.18"
"ac3508719a1d8f5b7614b798f70af136",15410.66,"101","98","97.03","4.56"
"aba1721a889e04decc910aa13b768ef4",15352.469999999998,"92","82","89.13","4.46"
"c31eff8334d6b3047ed34bebd4d62c36",15350.85000000001,"121","104","85.95","3.85"
"530ec6109d11eaaf87999465c6afee01",15279.159999999993,"101","100","99.01","4.22"
"e2a1ac9bf33e5549a2a4f834e70df2f8",15200.56,"5","5","100.00","4.80"
"c6bda72e4dbf5c5866b13cb1810c6d03",15196.119999999999,"59","57","96.61","4.39"
"440dd6ab244315c632130ecfb63827b1",15135.680000000002,"92","80","86.96","3.85"
"431af27f296bc6519d890aa5a05fdb11",15103.050000000001,"124","105","84.68","3.77"
"05f51e13da97139648b8125c31e5f51b",14988.959999999997,"60","51","85.00","4.10"
"a7f13822ceb966b076af67121f87b063",14980.429999999993,"84","79","94.05","3.42"
"00fc707aaaad2d31347cf883cd2dfe10",14969.989999999994,"135","129","95.56","3.83"
"d50d79cb34e38265a8649c383dcffd48",14944.679999999998,"70","65","92.86","4.25"
"ce7d1888639e6fb06b2749cbfdac1ff7",14876.539999999999,"84","77","91.67","4.11"
"0ea22c1cfbdc755f86b9b54b39c16043",14824.079999999998,"265","261","98.49","4.34"
"9e6229250fedbe05838fef417b74e7fb",14797.260000000006,"77","74","96.10","3.90"
"0b35c634521043bf4b47e21547b99ab5",14690.790000000005,"77","68","88.31","3.51"
"48436dade18ac8b2bce089ec2a041202",14662.009999999998,"147","137","93.20","4.05"
"ef506c96320abeedfb894c34db06f478",14648.800000000041,"332","303","91.27","3.91"
"f08a5b9dd6767129688d001acafc21e5",14565.740000000002,"18","14","77.78","3.44"
"2e1c9f22be269ef4643f826c9e650a52",14491.520000000004,"167","156","93.41","4.16"
"e26901d5ab434ce92fd9b5c256820a4e",14481.630000000006,"215","210","97.67","4.06"
"610f72e407cdd7caaa2f8167b0163fd8",14429.45,"17","15","88.24","3.71"
"34d1ca11b242c0fee2c834ae8d788566",14404.280000000004,"41","41","100.00","4.30"
"d05ae8f7a5bd1d2a690a44cd079e4e27",14385.65000000001,"80","73","91.25","3.79"
"d6b1ce66b035a475f00c017792ff9769",14315.88,"108","100","92.59","4.17"
"a6bd7d1ccdac48c6b33b28596b7eb122",14306.91,"15","13","86.67","3.33"
"8d956fec2e4337affcb520f56fd8cbfd",14302.04999999999,"227","205","90.31","4.21"
"813348c996469b40f2e028d5429d3495",14271.230000000003,"195","186","95.38","4.00"
"2b1a40c1daabc6ca280c4b815c101841",14175.740000000002,"33","32","96.97","3.63"
